"","X","ID","duration","gender","age","ager","plz","state","urban","edu","res","s5_5t","att_organic","att_glypho","att_pest","att_smallfarm","att_tech","att_fert","awareness","knowledge","imp_aesth","imp_food","imp_water","imp_recr","imp_flood","imp_drought","imp_climate","imp_soc_climate","imp_soc_food","imp_soc_water","imp_soc_flood","imp_soc_drought","imp_per_climate","imp_per_food","imp_per_water","imp_per_flood","imp_per_drought","exp_flood","exp_drought","resp_pol","resp_con","resp_ret","resp_prod","motive_1","motive_2","motive_3","motive_4","motive_5","motive_6","motive_7","motive_8","motive_9","motive_10","motive_11","motive_12","motive_13","motive_14","motive_15","motive_16","motive_17","motive_18","INS","ICS","member","donation","farmer","livestock","no_ag","empl","income","marital","hh_size","childr","sd7","sys_RespNum","sys_ElapsedTime","q1","q2","q3","q4","q5","q6","q7","q8","q9","BLOCK","sys_pagetime_Random1","sys_pagetime_Random2","sys_pagetime_Random3","sys_pagetime_Random4","sys_pagetime_Fixed1","sys_pagetime_Random5","sys_pagetime_Random6","sys_pagetime_Random7","sys_pagetime_Random8"
"1",1,1,2603,0,26,2,"36088","he",0,"abitur","rented_flat"," ",5,5,5,5,5,4,4,3,2,4,5,1,4,4,5,5,5,5,4,4,5,5,5,5,5,0,0,5,5,4,4,1,3,1,2,3,3,3,4,4,2,4,4,4,1,4,2,4,5,5,3,0,0,1,1,0,"student","below_1000","single",4,1,NA,1396,255,2,1,2,1,1,1,2,2,1,16,21,17,50,11,6,11,10,93,18
"2",2,2,753,0,40,4,"27777","ni",1,"realschule","own_house"," ",4,4,3,4,4,3,2,2,4,4,5,5,5,4,4,4,5,5,5,4,4,5,5,5,4,0,3,5,4,5,4,3,3,2,4,2,3,4,3,3,1,2,2,1,3,4,4,3,4,3,3,0,1,0,0,1,"fulltime","3500_5000","partnership",2,1,NA,128,229,2,1,1,2,1,1,3,1,2,8,51,23,16,16,12,33,26,19,12
"3",3,3,616,0,62,6,"27432","ni",0,"hauptschule","own_house"," ",5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,4,4,4,4,4,5,5,4,4,3,5,5,5,4,4,4,4,5,4,5,4,3,7,7,0,1,1,1,0,"parttime","2500_3500","married",2,1,NA,324,185,1,2,2,1,1,1,1,1,1,24,24,93,27,6,5,3,4,3,4
"4",4,4,839,1,19,2,"16792","bb",1,"abitur","rented_flat"," ",5,5,4,5,5,5,3,1,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,2,3,3,5,2,3,5,3,2,2,4,3,3,3,4,5,5,5,6,4,0,0,0,0,1,"student","2000_2500","single",2,1,NA,576,364,1,2,3,3,1,3,3,1,2,6,40,89,14,24,13,20,17,39,10
"5",5,5,621,1,64,6,"74831","bw",0,"university","own_house"," ",4,4,4,1,4,5,5,3,4,5,5,5,5,5,4,4,5,5,4,5,4,5,5,3,4,3,3,3,5,5,4,3,3,3,5,2,4,3,4,3,4,2,1,1,3,5,5,1,3,4,3,0,0,0,0,1,"fulltime","2000_2500","married",2,1,NA,1626,179,1,2,1,2,1,2,2,1,2,6,33,26,17,18,14,12,13,13,13
"7",7,7,908,1,34,3,"92711","ba",1,"abitur","rented_flat"," ",4,4,4,4,4,4,2,1,4,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,0,0,5,5,5,5,1,4,2,2,3,3,4,3,5,4,5,5,4,4,4,4,5,5,3,3,0,0,0,0,1,"housewife_man","2500_3500","married",2,1,NA,268,213,1,1,1,1,1,2,2,1,2,28,45,13,9,12,16,12,14,19,7
"8",8,8,1093,0,43,4,"47918","nw",1,"realschule","own_house"," ",3,5,3,5,0,4,2,2,2,5,4,2,4,4,4,4,2,4,4,4,5,3,5,2,5,3,0,4,3,5,2,1,1,0,2,3,3,3,4,2,1,0,2,3,3,3,3,4,5,4,1,0,0,0,0,1,"fulltime","3500_5000","single",2,1,NA,939,334,1,2,1,2,1,1,2,2,2,9,60,21,18,24,25,22,16,29,13
"9",9,9,12665,1,43,4,"70182","bw",1,"university","own_flat"," ",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,1,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,1,"parttime","3500_5000","married",2,1,NA,669,1679,3,3,3,3,3,3,3,3,3,9,64,324,1155,3,2,18,2,13,9
"10",10,10,1130,1,38,3,"59457","nw",1,"hauptschule","rented_flat"," ",5,5,5,5,5,5,3,1,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,4,1,1,3,3,3,3,3,5,5,2,5,5,3,1,4,0,4,5,4,2,0,0,0,0,1,"fulltime","2500_3500","partnership",2,1,NA,919,394,2,1,2,1,1,2,2,1,1,19,42,63,52,28,30,24,18,23,30
"11",11,11,882,0,56,5,"70435","bw",1,"hauptschule","rented_flat"," ",5,5,5,5,4,4,2,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,0,0,3,4,5,3,1,1,0,5,0,2,5,4,3,3,4,2,3,3,5,3,4,4,4,2,0,0,0,0,1,"parttime","1000_1500","single",1,NA,NA,1218,301,1,2,3,1,1,1,1,3,2,18,35,25,33,23,40,20,24,31,15
"12",12,12,680,1,61,6,"91315","ba",0,"realschule","own_house"," ",4,5,5,4,3,4,3,2,4,5,5,3,5,5,5,5,5,5,5,5,0,0,0,0,0,1,2,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,4,0,5,0,4,5,7,1,0,0,0,0,1,"retired","3500_5000","married",2,1,NA,1639,170,2,1,2,2,2,1,2,1,1,19,23,16,10,22,13,15,10,16,12
"13",13,13,326,0,45,4,"44866","nw",1,"fachabitur","rented_flat"," ",0,0,0,0,0,0,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,"fulltime","1500_2000","single",1,NA,NA,1511,106,1,1,1,2,2,2,2,1,1,11,19,6,9,9,4,3,8,8,3
