Nummer;duration;s1;s2;ager;s3_1t;bula;agglo;s4;s5;s5_5t;f1_1;f1_2;f1_3;f1_4;f1_5;f1_6;f2;f3;f4_1;f4_2;f4_3;f4_4;f4_5;f4_6;f4_7;f5_1;f5_2;f5_3;f5_4;f5_5;f6_1;f6_2;f6_3;f6_4;f6_5;f7;f8;f9_1;f9_2;f9_3;f9_4;f10_1;f10_2;f10_3;f10_4;f10_5;f10_6;f10_7;f10_8;f10_9;f10_10;f10_11;f10_12;f10_13;f10_14;f10_15;f10_16;f10_17;f10_18;f11;f12;s6;s7;s8_1;s8_2;s8_3;sd2;sd3;sd4;sd5;sd6;sd7;sys_RespNum;sys_ElapsedTime;CBC_Random1;CBC_Random2;CBC_Random3;CBC_Random4;CBC_Random5;CBC_Random6;CBC_Random7;CBC_Random8;sys_CBCVersion_CBC;sys_pagetime_Random1;sys_pagetime_Random2;sys_pagetime_Random3;sys_pagetime_Random4;sys_pagetime_Random5;sys_pagetime_Random6;sys_pagetime_Random7;sys_pagetime_Random8
1;750;2;20;2;58095;10;1;5;1; ;2;1;2;2;2;3;4;2;2;1;1;2;3;2;2;1;1;1;2;1;1;1;1;2;2;4;2;1;1;1;3;4;3;4;1;2;2;3;1;4;3;2;2;4;2;3;2;1;2;3;3;2;2;0;0;1;1;1;4;3;1; ;20;188;3;2;1;1;1;2;2;1;1;37;29;12;15;17;14;16;9
2;986;2;45;4;22307;6;1;6;3; ;1;1;1;1;1;1;2;3;2;1;1;2;1;1;1;3;2;1;3;1;1;2;1;1;1;4;1;1;1;2;1;5;2;5;2;4;2;2;3;2;3;2;2;2;3;2;2;2;1;7;3;1;1;0;0;1;1;6;1;4;3;Ich hoffe ich habe den Mittelteil richtig verstanden?;24;279;2;2;2;1;1;2;1;1;1;70;40;29;24;17;14;18;22
3;618;1;53;5;91522;2;1;2;1; ;2;1;1;2;3;2;4;3;2;1;2;1;2;2;2;2;1;1;2;2;1;1;1;1;1;4;4;3;3;1;3;3;1;3;3;3;2;2;3;3;3;3;2;3;2;1;3;1;2;4;4;2;2;0;0;1;1;6;1;3;2; ;21;158;1;2;3;1;3;2;1;2;1;30;15;22;15;18;10;10;11
4;662;2;39;3;10369;3;1;3;1; ;2;1;2;2;2;3;2;2;3;3;2;2;3;2;2;2;3;2;3;2;2;3;1;4;2;4;1;1;1;2;3;4;5;5;4;4;4;2;2;3;5;3;4;2;3;3;3;1;1;3;4;2;2;0;0;1;1;7;1;3;2; ;22;198;1;2;2;1;1;2;1;2;1;27;22;30;18;25;14;26;11
5;311;1;63;6;13595;3;1;3;1; ;1;1;1;2;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;1;0;0;1;1;3;3;1; ;gut;23;80;2;1;1;2;1;1;2;1;1;26;8;6;7;6;4;7;5
6;618;1;70;6;53115;10;1;7;4; ;3;2;1;2;1;1;3;4;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;5;5;4;3;1;4;1;1;1;3;1;1;1;5;1;4;1;1;7;4;2;1;0;0;1;4;5;4;1; ; ;26;157;1;2;1;2;1;2;1;1;1;40;21;15;12;9;10;15;6
7;8648;2;29;2;32676;10;1;3;1; ;3;4;3;2;1;2;3;3;2;2;1;3;2;2;4;3;1;1;2;2;2;2;2;2;2;4;4;3;3;2;4;3;2;3;2;3;2;3;3;3;2;3;2;3;2;3;4;4;4;3;4;2;2;0;0;1;1;5;1;4;3; ;30;2128;1;2;3;3;3;2;3;3;1;86;716;18;53;16;9;427;24
8;2933;2;52;5;70771;1;1;3;1; ;1;1;1;3;3;1;2;3;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;3;1;3;5;3;5;6;3;6;3;1;3;3;1;4;5;1;5;1;1;6;4;1;1;0;0;1;1;7;2;4;3; ;33;772;2;2;2;2;1;2;2;1;1;63;61;27;19;17;102;413;23
9;599;1;63;6;90491;2;1;2;1; ;3;1;2;1;2;1;4;2;3;2;1;1;2;1;2;2;2;1;2;2;2;2;1;3;2;4;4;2;2;1;2;3;3;3;1;3;3;2;3;3;3;2;2;2;3;1;3;2;2;4;4;2;2;0;0;1;2;2;4;1; ;nein;27;172;1;2;2;1;1;2;1;2;1;40;17;14;15;16;17;21;17
10;1265;1;36;3;18437;8;1;2;1; ;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;1;1;1;3;3;5;3;5;3;3;1;1;5;5;1;4;2;5;1;5;1;1;6;1;2;1;0;0;1;1;6;2;5;4; ;28;217;2;2;1;2;1;2;1;1;1;57;28;33;12;23;12;17;14
