"ID","gender","age","plz","urban","edu","member","donation","no_ag","income_","drought","flood","climate","water","wtp_all","SQR","SQR_1km","SQR_10km","SQR_20km","SQR_33km","howas","DIM2014","DIM2007","DIM2000","SMI_Min","Nitrate_RG","xcoor","ycoor","flooded"
1,0,26,36088,0,1,0,0,0,500,0.3340115538,0.303229036156673,0.394505179716829,5.4391543750762,6.4709001447497,49.7404273972475,51.0937894040306,52.5787447781899,51.2004532924001,51.7915425228471,0,0.187755102,0.181481481,0.19434629,0.019503200426698,FALSE,-52820.5555584,-36909.294913,FALSE
2,0,40,27777,1,0,0,1,1,4250,0.3274765826,0.289043835927489,0.236680177227764,0.344233166711986,1.19743376246724,64.1572077185017,64.4785464098074,64.1111728613296,64.7238414781016,64.3500531111887,0,0.306122449,0.277777778,0.268551237,0.006776235532016,TRUE,-131692.5005375,229538.7499378,FALSE
3,0,62,27432,0,0,0,1,0,3000,0.3229277006,0.150647479350404,0.329959045075166,1.90318072642185,2.70671495144742,52.8308897653102,51.411913100655,57.4301242552532,59.4034151517691,61.5286500170754,0,0.110204082,0.1,0.09540636,0.022303380072117,TRUE,-93283.2793756,278006.0785269,FALSE
4,1,19,16792,1,1,0,0,1,2250,0.2958445755,0.089756853101181,0.234829654406591,1.09929216189282,1.71972324490059,47.3768883407695,47.3862629010573,49.0335045020297,49.8331540865973,50.9028835181168,0,0.224489796,0.285185185,0.374558304,0.013580215163529,FALSE,190586.3622634,225382.543096,FALSE
5,1,64,74831,0,1,0,0,1,2250,0.3364040755,0.571064610598697,0.382760474197765,2.85879065495741,4.14901981525387,58.4887606696165,56.6589355098391,60.4115430287901,61.4454030860201,62.1471917231861,0,0.330612245,0.377777778,0.38869258,0.010231344029307,FALSE,-95236.7210367,-188961.8810708,FALSE
7,1,34,92711,1,1,0,0,1,3000,0.2996162305,0.120522177040835,0.606386517112978,5.73463242372315,6.76115734837696,36.8020375569662,36.8104840315782,49.6447763502474,49.0511875770673,47.407634467903,0,0.032653061,0.02962963,0.028268551,0.031026536598802,FALSE,112182.5169302,-139174.0664679,FALSE
8,0,43,47918,1,0,0,0,1,4250,0.3166857592,0.223748154816713,0.221839303615736,3.41518342398953,4.17745664162198,77.7900677200903,77.4438202247191,74.4869500797812,75.6447339041933,76.1307877114292,0,0.216326531,0.2,0.201413428,0.011745770461857,TRUE,-281782.5171441,42931.4477337,FALSE
9,1,43,70182,1,1,0,0,1,4250,0.2850016058,-0.175245683021804,-0.150286543011074,-1.91922548516013,-1.95975610539301,NA,NA,57.0905947041308,60.0535034235918,57.8117133080017,0,0.440816327,0.42962963,0.448763251,0.028003294020891,FALSE,-96601.0489109,-246414.5978118,FALSE
10,1,38,59457,1,0,0,0,1,3000,0.3497839441,0.273693351313425,0.612356363436684,3.37514603251571,4.61097969136582,92.2606241959479,91.3457070945564,88.9393917948929,81.5383776381272,72.3012036461247,0,0.130612245,0.122222222,0.120141343,0.007271176669747,TRUE,-179495.017884,64998.3074787,FALSE
11,0,56,70435,1,0,0,0,1,1250,0.3453906677,0.174480599899853,0.167840927642186,0.59812937533424,1.28584157057628,NA,79.6666666666667,68.2704471425594,61.2375254522877,59.8789739285497,0,0.440816327,0.42962963,0.448763251,0.020390633493662,FALSE,-100000.6953063,-238869.548722,FALSE
12,1,61,91315,0,0,0,0,1,4250,0.3410669402,0.294803386770695,0.465625640406507,2.92397127530533,4.02546724268253,42.2346376705412,41.8625342920703,44.1478818345778,48.8836024033832,51.2101987663593,0,0.07755102,0.07037037,0.070671378,0.020676279440522,TRUE,23834.9211261,-142745.9082158,FALSE
13,0,45,44866,1,0,0,0,1,1750,0.3353054558,0.389881317165177,0.681768627702382,1.47975935722277,2.88671475789033,91.5,90.1981132075472,82.2848375579457,68.1286219909884,67.9231720270158,0,0.008163265,0.007407407,0.010600707,0.021376859396696,FALSE,-233041.8881695,59281.8986937,FALSE
14,0,36,60439,1,0,0,0,1,500,0.3216556683,0.015452095601156,0.187134675714184,1.13332662801482,1.65756906763016,82.5,81,80.1696487965474,72.8636640746914,65.3775104476176,2,0.240816327,0.237037037,0.250883392,0.027235141023993,FALSE,-133957.5982709,-91328.9497281,TRUE
15,1,35,65527,1,0,0,0,1,2250,0.3464102418,0.164928355914849,0.407749246795284,0.785165593790984,1.70425343830112,41.7799973738821,41.8237349397393,52.8204684678646,57.470389809335,58.1931860365512,0,0.428571429,0.466666667,0.537102473,0.022583438083529,FALSE,-157258.0083965,-89950.7405199,FALSE
16,1,28,52499,1,0,0,0,1,4250,0.3414222731,0.096419305587407,0.685253369285718,2.34705173914924,3.47014668712236,93.2589576547231,93.3095238095238,89.3270013578856,88.0145856918816,86.1039875102297,0,0.2,0.233333333,0.250883392,0.037392199039459,TRUE,-302961.2795417,-240.251138,FALSE
17,1,55,49624,0,0,0,1,1,4250,0.3420173919,0.298129127917473,0.584293494153914,3.71658651525397,4.94102652922536,60.8855547931533,60.3153331303267,58.9151252740904,59.1830305463303,56.8905229426682,0,0.089795918,0.081481481,0.077738516,0.009966355748475,TRUE,-185217.0603901,196664.5024052,FALSE
18,1,33,45329,1,0,0,0,1,3000,0.3772080122,0.214427771263698,0.432466202879958,0.286414034022444,1.3105160203661,NA,NA,69.0728744939271,64.9477574686284,67.7324438705781,0,0.093877551,0.085185185,0.081272085,0.02173925563693,FALSE,-242000.4153298,62657.8469194,FALSE
19,0,24,90537,1,0,0,0,1,2250,0.3377926719,0.352444870486178,0.392797181675185,4.18605253631594,5.2690872603773,NA,72.6666666666667,53.1213668042963,55.5069735507407,51.4073238757462,0,0.053061224,0.062962963,0.070671378,0.008158949203789,FALSE,53144.8322135,-180215.5047809,FALSE
20,1,28,13409,1,0,0,0,1,1750,0.3434428416,0.319599080140034,0.585621889296477,2.44474096355023,3.69340477458674,NA,NA,48.7583809854438,49.9340905972524,48.8624766162808,0,0.714285714,0.777777778,1,0.022768881171942,FALSE,194521.8701236,178156.4323104,FALSE
21,0,56,53859,1,1,0,0,1,7000,0.3375440316,0.17806076229385,0.339052158973712,4.73320534806401,5.58786230093157,73.6596330181903,73.7261110941569,79.1699398524231,80.1255540793654,81.1739609374732,0,0.293877551,0.32962963,0.360424028,0.012652369216084,TRUE,-242819.1988331,-15008.401981,FALSE
22,0,31,45721,0,1,1,1,0,3000,0.3650591835,0.20503772621747,0.142532562619698,-1.70082087997355,-0.988191407636382,73.1330935251799,70.3746928746929,64.1328920570265,62.814831992481,64.276521173008,0,0.130612245,0.118518519,0.113074205,0.00847686920315,TRUE,-228575.4034024,88802.2825735,FALSE
23,1,66,94535,1,0,0,0,1,1250,0.3288873915,0.321233042571362,0.331890391126731,4.49436158357805,5.47637240877614,50.625,50.2443181818182,63.0244245274034,68.6067740107872,70.0375308595004,0,0.440816327,0.440740741,0.501766784,0.024694919586182,FALSE,202778.0320448,-250820.1391687,FALSE
24,0,31,2956,1,0,0,0,1,2250,0.3655071077,-0.128485458432819,0.122433325376665,-1.14346825505535,-0.784013280411504,61.1101321585903,61.4285714285714,54.3274208719804,57.5485880855544,64.2582500257708,0,0.302040816,0.314814815,0.413427562,0.011958194896579,FALSE,297769.4395977,53872.8418538,FALSE
26,0,41,12619,1,0,0,0,1,1250,0.3394486742,0.163896320820708,0.139215036677853,1.63826982604911,2.28082985774767,NA,45.5418528993404,49.2096179116315,49.8770449557856,50.231793814268,0,0.714285714,0.777777778,1,0.023185795173049,FALSE,209497.0059082,173834.0172856,FALSE
27,1,39,74889,1,0,0,0,0,500,0.3345679572,0.235809514559696,0.458353087547439,1.11955989963873,2.14829045894586,75.460113960114,75.4979838709677,74.2431895820441,70.9000818681397,67.3218441413501,0,0.13877551,0.12962963,0.134275618,0.008635831996799,FALSE,-117940.07907,-194537.8836156,FALSE
28,1,62,28201,1,0,0,0,1,500,0.3111518635,-0.069823423814687,0.241210230497874,0.438603078673618,0.921141748856805,NA,NA,67.2817073372321,64.7657897813996,65.5245238181011,0,0.032653061,0.02962963,0.028268551,0.017104955390096,TRUE,-112885.4821331,230228.4450486,FALSE
29,0,36,37077,1,0,0,0,1,3000,0.3350070443,0.23425898271706,0.367451910259141,0.108090230375985,1.04480816765219,34.947734592579,43.8513840682634,59.347950217967,58.3681717659064,58.6176924350323,0,0.563265306,0.548148148,0.54770318,0.012381484732032,FALSE,-35610.0720083,63152.7553281,FALSE
30,0,31,77974,1,0,0,0,1,3000,0.3346896625,0.279393848960079,0.368741308115291,4.80062154582599,5.78344636540136,73.2028301886792,72.6971830985916,73.1120317002882,72.6341250970823,72.0473901543446,0,0.126530612,0.17037037,0.265017668,0.010181271471083,TRUE,-200615.8865381,-284846.8035873,FALSE
31,0,54,95682,1,0,0,0,1,3000,0.3069129579,-0.092241152473262,-0.386464862920586,-0.741740254691971,-0.913533312185819,42.3486303601946,42.3422361837851,41.374267343675,43.8689813712053,47.6848647059657,0,0.093877551,0.092592593,0.088339223,3.01747491e-07,FALSE,100543.7324178,-114588.2922187,FALSE
32,0,47,4886,1,0,0,0,1,1750,0.3479150931,0.330386578335894,0.417323451292732,1.97035854517131,3.06598366789994,64.7909862834749,63.9382486360692,57.0030200045752,58.0379257514814,61.9102493500989,0,0.648979592,0.674074074,0.879858657,0.017015220597386,TRUE,179087.0613702,66869.7765849,FALSE
33,1,45,13187,1,1,0,1,1,3000,0.443293059,0.3629898264192,0.660003238099986,-0.064763390073499,1.40152273344569,NA,NA,49.3617232773543,50.1281874324765,48.9257863788177,0,0.714285714,0.777777778,1,0.022389920428395,FALSE,197072.2001407,178364.0956502,FALSE
34,0,62,56154,0,0,0,0,1,500,0.2769040889,-0.262567359902163,-0.143686647865695,-2.07565530225933,-2.20500522112719,37.9127347582862,38.9009256421423,43.4826369829495,46.9138137772602,45.755686001748,0,0.281632653,0.281481481,0.349823322,0.01300411298871,TRUE,-209214.5012009,-83264.0192487,FALSE
35,1,55,14552,0,1,0,0,1,7000,0.2776880998,0.319298051352563,0.604651737267375,2.21493746211515,3.41657535053509,48.2510971619418,48.3314582983653,46.4545961680363,46.4427961392888,48.6642036061219,0,0.269387755,0.359259259,0.462897527,0.024121455848217,FALSE,174316.0357557,146829.9016156,FALSE
36,1,20,75177,1,0,0,0,1,500,0.3310232112,0.243406267534484,-0.094972577528639,-0.191153233896637,0.288303667309208,83.8913043478261,82.0454545454545,72.4347901525744,67.5321991434974,68.3507789346407,0,0,0,0,0.013837827369571,FALSE,-131324.8767451,-230497.4780113,FALSE
37,1,57,41061,1,1,0,0,1,500,0.2984897458,0.279144953881224,0.572391083337623,5.63631531320618,6.78634109622503,NA,NA,80.3241517694272,81.3735694023281,81.4566133057702,0,0.057142857,0.059259259,0.06360424,0.014482759870589,TRUE,-283900.360469,29474.997128,FALSE
39,1,65,47249,1,0,0,0,1,2250,0.3240982994,0.287072585328276,0.23741991638074,1.69777131693923,2.54636211804825,NA,NA,71.1076289751771,72.5247710450634,73.3150920761109,0,0.167346939,0.162962963,0.169611307,0.016770180314779,FALSE,-260132.2593309,49181.8346139,FALSE
40,0,58,59067,1,1,0,1,1,2250,0.3273161348,0.329571022940375,0.587673188520903,5.21737731207119,6.46193765833247,86.8636363636363,86.7467532467532,75.0683165764372,73.565304254475,70.7828550157374,0,0,0,0,0.007246925029904,TRUE,-187688.6244802,77430.8602442,FALSE
41,0,62,59075,1,0,0,0,1,1250,0.3746462218,-0.174047876775967,0.398806109244081,3.69686903978812,4.29627349405623,59.2025316455696,55.2695749440716,66.4621150729335,70.4788529191042,69.7939215961785,0,0,0,0,0.008716844022274,TRUE,-189997.2487255,81974.4765144,FALSE
42,0,39,52525,1,0,0,0,1,3000,0.3329635937,0.458692757052384,0.076011100047628,2.96586611359217,3.83353356439218,82.0683915691011,82.5348085193543,85.2526164744593,86.4021762574259,84.8570025614445,0,0.171428571,0.188888889,0.197879859,0.02428881265223,TRUE,-308826.1116825,15270.990088,FALSE
43,1,70,98529,0,0,0,0,1,2250,0.343177514,0.231186111252647,0.25990325261405,4.23311403586828,5.06738091373498,NA,32.2771363258362,37.9441834618064,46.80771871508,53.5389924094854,0,0.016326531,0.018518519,0.021201413,0.002063414547592,FALSE,9279.1887787,-44034.9087688,FALSE
44,0,59,73630,1,1,0,0,1,4250,0.3584734411,0.355830677646456,0.578960322866491,3.29198777425652,4.58525221586947,67.3825803484235,68.7977867126465,66.6881642566054,56.0830392414849,58.1000530798251,0,0.020408163,0.02962963,0.028268551,0.022230386734009,FALSE,-78219.3644079,-242149.0434952,FALSE
45,1,67,49219,1,0,0,0,1,4250,0.3551213842,0.452557606330744,0.759529421221009,1.90656611520534,3.47377452695709,65.7595561035758,65.2866779089376,62.3791285244222,62.5612027262767,62.0522624838978,0,0.506122449,0.474074074,0.455830389,0.004294252023101,TRUE,-173090.6618537,122785.2799589,FALSE
46,0,19,84144,1,0,0,0,1,4250,0.3277579441,0.636068448773777,0.450290217239946,0.415203166498276,1.829319776612,62.7097476014523,63.4816429229764,64.5176986462672,65.81839064349,67.5594225185808,0,0.183673469,0.2,0.204946996,0.019688347354531,TRUE,130675.9465589,-279748.9687346,FALSE
47,0,65,55743,1,0,0,0,1,2250,0.3538113242,0.17535857944441,0.525734454827838,2.48379899057838,3.53870334905063,44.5683498943553,44.5016445711435,42.9588994542758,43.2822564999629,43.4768342902385,0,0.020408163,0.025925926,0.053003534,0.038542564958334,TRUE,-227553.0357094,-137313.199963,FALSE
48,0,32,26969,1,0,0,0,0,500,0.3350892306,0.092892540585053,0.428010364613815,1.86080428888569,2.71679642468456,73.8084112149533,73.9789915966387,73.5642857142857,62.3292847933344,62.1501745382644,0,0.134693878,0.125925926,0.120141343,0.018832873553038,FALSE,-143287.8481685,285804.6088606,FALSE
49,0,22,52428,1,0,0,1,1,2250,0.3424578441,0.30295665997428,0.591470149243577,3.66282085714807,4.89970551046593,84.8574368020763,85.1655846304264,87.9745009371725,88.2387722683209,85.0386469749538,0,0.212244898,0.255555556,0.25795053,0.007398750633001,TRUE,-290029.0856684,180.8247209,FALSE
50,1,53,15299,1,0,0,0,0,1250,0.1405850803,-0.602712279960363,0.05875246667808,0.170274823120925,-0.233099909861358,53.9817213536749,53.0925418336513,52.1092133256788,51.3376347004213,52.2294423096255,0,0.134693878,0.166666667,0.22614841,0.069382406771183,FALSE,267045.5528281,140953.4766073,FALSE
51,0,55,64342,1,0,0,0,1,1750,0.3549166943,0.293496193376217,0.648803162399755,2.68191656098012,3.97913261105609,71.3489583333333,63.431680020419,66.5722355665984,64.7627706666332,64.0714973832824,0,0.248979592,0.233333333,0.275618375,0.007248598150909,TRUE,-132476.7070687,-136312.4811337,FALSE
52,1,40,77855,1,0,0,0,0,3000,0.2846905108,-0.19597481860769,0.192143110397807,0.74180446218625,1.02266326477637,66.8854895104895,66.8804909560724,68.0866802236909,69.0550169282856,69.7053642495851,0,0.126530612,0.17037037,0.265017668,0.007246376946568,FALSE,-181476.5782756,-259973.3742947,FALSE
53,0,47,68519,1,0,0,0,1,3000,0.41690932,-0.280544223324564,-0.016009120011259,-0.774302408392256,-0.653946431728079,66.4796048214561,66.0448177668895,68.2868473067483,67.0104601695875,66.737928532584,0,0.334693878,0.333333333,0.35335689,0.007335821166635,TRUE,-139965.1458572,-158382.70495,FALSE
54,1,69,41065,1,0,0,1,1,1250,0.3463064531,0.29937866649121,0.518591733650524,2.64690233619231,3.81117918943404,69,70.5,81.298794489093,81.8372369902156,80.8810892407005,0,0.057142857,0.059259259,0.06360424,0.014482759870589,TRUE,-281611.434448,29460.7974159,FALSE
55,0,32,99425,1,0,0,1,1,500,0.1969654897,-0.816296630176707,-0.850396123536271,-0.611678640319346,-2.08140590433232,82.4519434661865,81.4816140348583,77.5629913987535,78.6386544302016,77.7096595202948,0,0.081632653,0.085185185,0.084805654,0.03522889688611,TRUE,59607.8159161,-3292.1291593,FALSE
56,0,43,4838,1,1,0,0,1,2250,0.3344313219,-0.133126797099196,0.188459358193545,0.724791394402487,1.11455527739684,61.4871078823502,62.8943242109144,67.1087102559939,68.7359158983632,72.7425144949957,32,0.648979592,0.674074074,0.879858657,0.024486070498824,TRUE,147114.4928125,56401.3065573,TRUE
57,1,53,44379,1,1,0,0,1,500,0.2853794354,-0.255080875666697,0.141202630585916,1.50288405482012,1.67438524513934,90.6,89.85,80.6957983328095,73.5142236171553,71.2480112814845,0,0.053061224,0.048148148,0.045936396,0.014350851997733,FALSE,-216674.6396339,61540.1638798,FALSE
58,1,25,97941,0,1,0,0,1,3000,0.4260134467,0.605163566341074,0.748948215853775,1.52825445240238,3.30837968129723,41.0348380375471,42.6291732182247,51.9597232163707,55.4539358360525,54.2894480881436,0,0.130612245,0.125925926,0.123674912,0.012086332775652,TRUE,-61002.01963,-152750.843954,FALSE
59,1,54,37327,0,0,0,0,1,1250,0.349413648,0.095297048979012,0.309124400936291,4.54253865959519,5.29637375751049,57.8158843692611,58.9148139515142,60.2413783069035,58.968320665177,62.2036454908011,0,0.146938776,0.174074074,0.173144876,0.022411776706576,TRUE,-13835.1765453,42359.7777183,FALSE
60,1,58,31860,1,0,0,1,1,4250,0.333364412,0.107634443518246,0.281731052941097,5.32355530817497,6.04628521663431,56.7101089001669,56.603871952161,57.3587775803349,59.6595935502599,64.4836378044159,0,0.057142857,0.051851852,0.049469965,0.007632217835635,FALSE,-74786.8312925,114468.2441815,FALSE
61,0,68,37574,0,1,0,1,1,3000,0.3494918111,0.164213696244495,0.352243074678006,3.51375754548535,4.37970612750785,66.5097618844826,66.0857488639624,62.6050337335134,61.2857047135149,61.6934703024991,0,0.110204082,0.107407407,0.102473498,0.021764375269413,FALSE,-42109.8089267,91609.7896653,FALSE
62,0,50,70736,1,0,0,0,1,500,0.3217374704,0.017697008576563,0.588000989612467,2.32003392280158,3.24746939139061,77.9961778026516,69.2542067851339,69.8458260782893,60.9480076371954,59.4894455007769,0,0.020408163,0.02962963,0.028268551,0.017180241644382,FALSE,-90492.3675864,-239655.7970075,FALSE
63,0,41,70376,1,0,0,0,1,3000,0.347977267,-0.158184402465349,0.344958804657954,2.10620777990477,2.64095944909737,NA,84,69.6257563596432,60.4557803180948,58.9193819954899,0,0.440816327,0.42962963,0.448763251,0.020002292469144,FALSE,-95164.5102127,-241912.8434785,FALSE
64,1,55,72160,0,0,0,0,1,4250,0.3637902654,0.454139839510578,0.609804332812933,4.94599744780213,6.37373188552564,53.8237197358729,54.1389699690622,60.2912324562023,60.1687709706161,58.1433490306887,0,0.048979592,0.048148148,0.056537102,0.016807127743959,FALSE,-136067.9429291,-282484.1165273,FALSE
65,1,54,39120,1,0,0,1,1,2250,0.3427471716,0.307514524040056,-0.138048031729358,4.3766706392194,4.8888843031301,96.6964285714286,95.6647958950121,89.1853261265069,83.5720766043524,79.2846609308266,69,0.244897959,0.22962963,0.293286219,0.037683047354221,FALSE,76517.4827822,120605.1629267,TRUE
66,1,22,85055,1,0,0,0,1,2250,0.3592522576,0.279706943755926,0.17114859128352,1.85225942559417,2.66236721823362,72.5460829493088,73.2500214082649,65.354904566619,59.515294631605,56.303052956319,4,0.008163265,0.007407407,0.007067138,0.019289344549179,FALSE,69414.984346,-245561.6901018,TRUE
67,1,55,71735,1,0,0,1,1,7000,0.3558609323,0.221520825408948,0.563270345777243,1.58681747237527,2.72746957586146,57.346907087594,57.7425707259981,61.1142084353578,63.0988868047048,66.7198509645106,0,0.179591837,0.174074074,0.190812721,0.02066176943481,FALSE,-112861.3350899,-234060.4465894,FALSE
68,0,57,17309,0,1,0,0,1,3000,0.2982608689,-0.270858126070887,-0.216347665817261,-1.90916230813079,-2.09810723111894,53.1519691503211,53.2999829947948,51.6968259343199,51.8182940595434,52.1386593630114,0,0.355102041,0.374074074,0.487632509,0.00835435371846,FALSE,232632.6521758,285754.7054451,FALSE
